"ITE001001"	"BC-H-001001"
"ITE002731"	"ABC002731"
"ITE002732"	"ABC002732"
"ITE002733"	"ABC002733"
"ITE002734"	"ABC002734"
"ITE002735"	"ABC002735"
"ITE002736"	"ABC002736"
"ITE002737"	"BC-H-002737"
"ITE002738"	"ABC002738"
"ITE002739"	"ABC002739"
"ITE002740"	"ABC002740"
"ITE002741"	"ABC002741"
"ITE002742"	"ABC002742"
"ITE002743"	"ABC002743"
"ITE002744"	"ABC002744"
"ITE002745"	"ABC002745"
"ITE002746"	"ABC002746"
"ITE002747"	"ABC002747"
"ITE002748"	"ABC002748"
"ITE002749"	"ABC002749"
"ITE002750"	"ABC002750"
"ITE002751"	"ABC002751"
"ITE002752"	"ABC002752"
"ITE002753"	"ABC002753"
"ITE002754"	"ABC002754"
"ITE002755"	"ABC002755"
"ITE002756"	"ABC002756"
"ITE002757"	"ABC002757"
"ITE002758"	"ABC002758"
"ITE002759"	"ABC002759"
"ITE002760"	"ABC002760"
"ITE002761"	"BC-H-002761"
"ITE002762"	"ABC002762"
"ITE002763"	"ABC002763"
"ITE002764"	"ABC002764"
"ITE002765"	"ABC002765"
"ITE002766"	"ABC002766"
"ITE002767"	"ABC002767"
"ITE002768"	"ABC002768"
"ITE002769"	"ABC002769"
"ITE002770"	"ABC002770"
"ITE002771"	"ABC002771"
"ITE002772"	"ABC002772"
"ITE002773"	"BC-H-002773"
"ITE002774"	"ABC002774"
"ITE002775"	"BC-H-002775"
"ITE002776"	"ABC002776"
"ITE002777"	"ABC002777"
"ITE002778"	"ABC002778"
"ITE002779"	"ABC002779"
"ITE002780"	"ABC002780"
"ITE002781"	"ABC002781"
"ITE002782"	"ABC002782"
"ITE002783"	"ABC002783"
"ITE002784"	"ABC002784"
"ITE002785"	"ABC002785"
"ITE002786"	"ABC002786"
"ITE002787"	"ABC002787"
"ITE002788"	"ABC002788"
"ITE002789"	"BC-H-002789"
"ITE002790"	"ABC002790"
"ITE002791"	"ABC002791"
"ITE002792"	"ABC002792"
"ITE002793"	"ABC002793"
"ITE002794"	"ABC002794"
"ITE002795"	"ABC002795"
"ITE002796"	"ABC002796"
"ITE002797"	"ABC002797"
"ITE002798"	"ABC002798"
"ITE002799"	"BC-H-002799"
"ITE002800"	"ABC002800"
"ITE002801"	"ABC002801"
"ITE002802"	"ABC002802"
"ITE002803"	"ABC002803"
"ITE002804"	"ABC002804"
"ITE002805"	"ABC002805"
"ITE002806"	"BC-H-002806"
"ITE002807"	"ABC002807"
"ITE002808"	"ABC002808"
"ITE002809"	"ABC002809"
"ITE002810"	"ABC002810"
"ITE002811"	"ABC002811"
"ITE002812"	"ABC002812"
"ITE002813"	"BC-H-002813"
"ITE002814"	"ABC002814"
"ITE002815"	"ABC002815"
"ITE002816"	"ABC002816"
"ITE002817"	"ABC002817"
"ITE002818"	"ABC002818"
"ITE002819"	"ABC002819"
"ITE002820"	"ABC002820"
"ITE002821"	"ABC002821"
"ITE002822"	"ABC002822"
"ITE002823"	"ABC002823"
"ITE002824"	"ABC002824"
"ITE002825"	"ABC002825"
"ITE002826"	"ABC002826"
